timestamp,open,high,low,close,volume
2025-01-13 19:56:59.934489,91748.37000000,91748.37000000,91652.83000000,91652.84000000,9.50345
2025-01-13 19:57:59.931211,91652.84000000,91838.38000000,91652.83000000,91829.19000000,18.88784
2025-01-13 19:58:59.929988,91829.19000000,91956.83000000,91824.23000000,91952.77000000,10.89654
2025-01-13 19:59:59.953035,91952.77000000,91995.35000000,91911.35000000,91983.96000000,15.21155
2025-01-13 20:00:59.923090,91983.96000000,92117.64000000,91949.40000000,92102.21000000,26.66203
2025-01-13 20:01:59.946430,92102.20000000,92209.50000000,92089.53000000,92190.58000000,41.02339
2025-01-13 20:02:59.941685,92190.58000000,92190.59000000,92074.06000000,92154.97000000,33.46687
2025-01-13 20:03:59.924671,92154.97000000,92329.08000000,92154.97000000,92278.23000000,35.76997
2025-01-13 20:04:59.915280,92278.23000000,92299.99000000,92217.40000000,92283.82000000,14.33556
2025-01-13 20:05:59.931821,92283.81000000,92328.00000000,92190.21000000,92200.60000000,25.52705
2025-01-13 20:06:59.926015,92200.70000000,92380.00000000,92165.60000000,92334.70000000,15.02046
2025-01-13 20:07:59.921929,92334.70000000,92384.61000000,92273.49000000,92337.42000000,13.83776
2025-01-13 20:08:59.915196,92337.43000000,92405.39000000,92337.43000000,92353.81000000,10.2356
2025-01-13 20:09:59.920270,92353.82000000,92353.82000000,92195.44000000,92241.86000000,11.60972
2025-01-13 20:10:59.907616,92241.86000000,92290.61000000,92184.02000000,92213.03000000,9.14315
2025-01-13 20:11:59.908359,92212.54000000,92212.54000000,92046.81000000,92059.31000000,18.66303
2025-01-13 20:12:59.906172,92059.31000000,92061.33000000,91950.00000000,91980.44000000,17.15242
2025-01-13 20:13:59.905257,91980.44000000,91980.44000000,91852.45000000,91924.98000000,12.92194
2025-01-13 20:14:59.902866,91924.97000000,92043.02000000,91924.97000000,92043.02000000,14.10667
2025-01-13 20:15:59.914117,92043.02000000,92050.88000000,91938.26000000,92050.87000000,17.67382
2025-01-13 20:16:59.898820,92050.87000000,92050.88000000,91919.53000000,91919.53000000,7.60173
2025-01-13 20:17:59.893207,91919.53000000,91931.60000000,91838.80000000,91840.94000000,13.01392
2025-01-13 20:18:59.893395,91840.94000000,91840.95000000,91725.42000000,91725.42000000,30.43411
2025-01-13 20:19:59.890555,91725.42000000,91840.50000000,91696.59000000,91836.07000000,15.60655
2025-01-13 20:20:59.892723,91836.08000000,91836.08000000,91629.54000000,91670.99000000,33.97841
2025-01-13 20:21:59.886676,91671.06000000,91739.26000000,91636.68000000,91650.22000000,26.15971
2025-01-13 20:22:59.888735,91650.21000000,91695.53000000,91622.12000000,91668.98000000,14.20288
2025-01-13 20:23:59.882726,91668.98000000,91787.99000000,91641.22000000,91719.26000000,16.04888
2025-01-13 20:24:59.887395,91719.26000000,91719.26000000,91593.85000000,91625.87000000,14.17549
2025-01-13 20:25:59.893013,91625.88000000,91811.74000000,91625.88000000,91809.32000000,24.30326
2025-01-13 20:26:59.894810,91809.32000000,91811.23000000,91674.04000000,91731.85000000,18.66927
2025-01-13 20:27:59.879464,91734.25000000,91804.00000000,91634.37000000,91648.53000000,10.29212
2025-01-13 20:28:59.875209,91648.52000000,91740.00000000,91628.00000000,91658.23000000,20.95615
2025-01-13 20:29:59.880501,91658.36000000,91730.12000000,91658.36000000,91717.09000000,17.30291
2025-01-13 20:30:59.876180,91717.09000000,91957.69000000,91717.09000000,91936.18000000,33.47283
2025-01-13 20:31:59.883758,91936.17000000,91936.18000000,91746.67000000,91861.12000000,16.99064
2025-01-13 20:32:59.877404,91861.12000000,91964.00000000,91815.40000000,91949.40000000,30.4961
2025-01-13 20:33:59.866507,91949.40000000,92026.62000000,91922.63000000,92026.62000000,9.4619
2025-01-13 20:34:59.872790,92026.75000000,92062.24000000,91953.82000000,92016.62000000,11.84361
2025-01-13 20:35:59.864654,92016.62000000,92129.98000000,92005.92000000,92128.01000000,22.3778
2025-01-13 20:36:59.869524,92128.00000000,92234.29000000,92106.72000000,92187.34000000,20.98229
2025-01-13 20:37:59.866195,92187.34000000,92217.04000000,92044.00000000,92104.57000000,15.762
